mpg,cylinders,model year,origin,origin_1,origin_2,origin_3,scaleddisplacement,scaledhorsepower,scaledweight,scaledacceleration
29.0,4,82,1,1,0,0,-0.5610387277335858,-0.5365337075392593,-0.5266453215604807,0.15681724201407024
31.9,4,79,2,0,1,0,-1.0027570508826382,-0.8772834300741629,-1.2360519787993118,-0.5693405511400869
19.0,6,76,3,0,0,1,-0.359384710643801,0.09254270329440886,-0.047795827924269646,-0.024722206274469045
28.0,4,74,1,1,0,0,-0.9931544786402674,-0.7724373616018849,-0.9995830930530348,-0.3878011028515476
37.7,4,81,3,0,0,1,-1.0027570508826382,-1.1131870841367886,-1.0882589252078887,0.6288198075642727
27.0,4,82,1,1,0,0,-0.40739757185565456,-0.3792646048308423,-0.2783529915268898,0.8829750351682274
16.0,6,75,1,1,0,0,0.5432570801390451,0.013908151940200337,1.09553123465898,1.0645144834567666
11.0,8,73,1,1,0,0,1.5035143043761154,1.9797719357954133,0.8200449827645672,-1.6585772408713226
26.0,4,70,2,0,1,0,-0.6954747391267756,0.2236002888847564,-0.8707075503213139,-1.1139588960057047
18.2,8,79,1,1,0,0,1.196231992620253,0.8002536654822856,1.0163141579339772,-0.1336458752475929
16.5,6,76,2,0,1,0,-0.2441538437353526,0.407080908711243,1.0044907136466632,0.41097246961802497
30.9,4,78,1,1,0,0,-0.8491158950047069,-0.7724373616018849,-0.8754369280362394,-0.3878011028515476
27.0,4,70,3,0,0,1,-0.9259364729436725,-0.43168763906698127,-0.993671370909378,-0.3878011028515476
14.0,8,71,1,1,0,0,1.5035143043761154,1.5865991790243708,1.4644226964231721,-1.295498344294244
18.0,6,73,1,1,0,0,0.37041077977637243,-0.1171494336501472,-0.030060661493298863,0.15681724201407024
26.0,4,72,2,0,1,0,-0.9355390451860432,-0.9297064643103019,-0.9239130496142262,0.8829750351682274
32.1,4,80,1,1,0,0,-0.9163339007013018,-0.9034949471922324,-1.0054948151966918,-0.024722206274469045
24.5,4,76,1,1,0,0,-0.9163339007013018,-1.1656101183729275,-0.9534716603325109,2.37159851113425
28.1,4,81,2,0,1,0,-0.5034232942793616,-0.6413797760115374,0.30690750069514594,1.7543643869532155
32.7,6,80,3,0,0,1,-0.2441538437353526,0.721619114128077,-0.07144271649889734,-1.5133456822404912
19.0,4,73,1,1,0,0,-0.6858721668844049,-0.5103221904211898,-0.7808493737377286,1.0645144834567666
15.0,8,77,1,1,0,0,1.0425908367423216,0.669196079891938,1.5661043172940714,-0.24256954422071605
26.0,4,74,3,0,0,1,-0.8203081782775948,-0.30063005347663374,-0.6850794750104864,-0.024722206274469045
17.0,8,79,1,1,0,0,1.0713985534694337,0.669196079891938,1.028137602221291,-0.06103009593217677
23.0,4,82,1,1,0,0,-0.40739757185565456,3.7248806162991607e-16,0.07635033709252582,1.7906722766109238
19.8,6,79,1,1,0,0,0.0631284680205099,-0.5103221904211898,0.023144837799613478,0.9555908144836428
13.0,8,71,1,1,0,0,1.9836429164946505,1.8487143502050658,2.565185359572092,-1.295498344294244
36.0,4,82,1,1,0,0,-0.5610387277335858,-0.5365337075392593,-0.7099087080138454,-0.9324194477171655
17.0,6,71,1,1,0,0,0.5432570801390451,-0.1171494336501472,0.4239595991395531,-0.024722206274469045
38.0,6,82,1,1,0,0,0.6584879470474935,-0.5103221904211898,0.05270344851789811,0.5198961385911488
31.5,4,77,3,0,0,1,-0.9163339007013018,-0.9559179814283715,-1.0941706473515456,1.0645144834567666
